Datetime (UTC),Temperature (deg C),Pressure (hPa)
20240212_025626,24.63,1014.69
20240212_025629,24.74,1007.90
20240212_025632,24.61,995.70
20240212_025635,24.75,1005.64
20240212_025638,24.73,1009.95
20240212_025641,24.78,1007.45
20240212_025644,24.54,1001.67
20240212_025647,24.85,1012.05
20240212_025650,24.88,1016.29
20240212_025653,24.82,1010.06
20240212_025656,24.74,1006.11
20240212_025659,24.80,1005.27
20240212_025702,24.65,1003.89
20240212_025705,24.79,1009.38
20240212_025708,24.56,1004.45
20240212_025711,24.45,1013.72
20240212_025714,24.86,1011.45
20240212_025717,24.75,1010.30
20240212_025720,24.87,1009.62
20240212_025723,24.99,1011.86
20240212_025726,24.71,1008.77
20240212_025729,24.55,1000.76
20240212_025732,24.83,1014.78
20240212_025735,24.78,1005.52
20240212_025738,24.69,1002.76
20240212_025741,24.81,1011.33
20240212_025744,24.89,1007.60
20240212_025747,24.63,1006.61
20240212_025750,24.78,1000.00
20240212_025753,24.75,1010.89
20240212_025756,24.82,1001.49
20240212_025759,24.74,1000.62
20240212_025802,24.71,1005.21
20240212_025805,24.71,1000.74
20240212_025808,24.98,999.92
20240212_025811,24.75,1010.50
20240212_025814,24.59,1003.64
20240212_025817,24.86,1013.16
20240212_025820,24.68,1003.76
20240212_025823,24.86,1001.81
20240212_025826,24.85,1009.93
20240212_025829,24.77,1010.48
20240212_025832,24.97,1011.70
20240212_025835,24.88,1009.95
20240212_025838,24.85,1004.04
20240212_025841,24.75,1003.69
20240212_025844,24.77,1010.60
20240212_025847,24.75,1010.97
20240212_025850,24.75,1004.14
20240212_025853,24.79,1014.35
20240212_025856,24.85,1005.01
20240212_025859,24.97,1005.56
20240212_025902,24.78,1007.18
20240212_025905,25.01,1010.16
20240212_025908,24.93,1005.99
20240212_025911,24.70,1002.59
20240212_025914,24.88,1002.91
20240212_025917,24.71,1003.21
20240212_025920,24.68,1006.77
20240212_025923,24.72,1006.44
20240212_025926,24.86,997.87
20240212_025929,24.92,1011.29
20240212_025932,24.92,1009.92
20240212_025935,24.84,1009.17
20240212_025938,24.87,1000.40
20240212_025941,24.86,1004.37
20240212_025944,24.78,1003.65
20240212_025947,24.84,1015.85
20240212_025950,24.77,1005.35
20240212_025953,24.86,1010.10
20240212_025956,24.81,1009.22
20240212_025959,24.91,1002.26
20240212_030002,24.75,1006.50
20240212_030005,24.75,1010.07
20240212_030008,24.82,1001.14
20240212_030011,24.89,998.18
20240212_030014,24.76,1005.03
20240212_030017,24.75,1013.16
20240212_030020,24.91,1008.04
20240212_030023,24.85,1013.34
20240212_030026,24.85,1006.95
20240212_030029,24.69,1007.22
20240212_030032,25.03,1006.20
20240212_030035,25.08,1001.55
20240212_030038,24.85,1006.90
20240212_030041,24.79,1013.02
20240212_030044,24.92,1013.98
20240212_030047,24.90,1001.50
20240212_030050,24.87,1011.94
20240212_030053,24.82,1008.61
20240212_030056,24.93,1011.16
20240212_030059,24.76,1006.72
20240212_030102,24.79,999.11
20240212_030105,24.71,1013.50
20240212_030108,25.04,1008.25
20240212_030111,24.85,1007.40
20240212_030114,24.97,1014.51
20240212_030117,24.78,1002.21
20240212_030120,24.66,997.75
20240212_030123,24.80,997.96
20240212_030126,25.14,1001.22
20240212_030129,24.82,1013.40
20240212_030132,24.91,1010.85
20240212_030135,24.74,1006.23
20240212_030138,24.79,1009.42
20240212_030141,24.98,1006.53
20240212_030144,24.89,1011.43
20240212_030147,24.90,1001.21
20240212_030150,24.75,1005.63
20240212_030153,24.68,1008.60
20240212_030156,24.82,1018.87
20240212_030159,24.82,998.22
20240212_030202,24.81,1004.41
20240212_030205,25.09,1012.51
20240212_030208,25.04,1012.05
20240212_030211,24.78,1003.08
20240212_030214,24.84,1011.79
20240212_030217,24.93,1019.69
20240212_030220,24.84,1007.28
20240212_030223,24.79,999.08
20240212_030226,24.83,1001.61
20240212_030229,24.96,1007.57
20240212_030232,24.83,1008.16
20240212_030235,24.91,1008.90
20240212_030238,24.89,1011.14
20240212_030241,25.18,1013.07
20240212_030244,24.95,1002.52
20240212_030247,24.92,1018.71
20240212_030250,25.02,998.24
20240212_030253,24.91,1010.40
20240212_030256,25.08,1005.67
20240212_030259,24.81,1005.93
20240212_030302,24.85,997.86
20240212_030305,25.08,1011.78
20240212_030308,24.79,1004.53
20240212_030311,24.96,1011.15
20240212_030314,25.16,1009.63
20240212_030317,24.99,1001.94
20240212_030320,24.82,1003.75
20240212_030323,24.86,1011.64
20240212_030326,24.95,1011.26
20240212_030329,24.97,1005.87
20240212_030332,24.83,1005.46
20240212_030335,24.75,1006.25
20240212_030338,24.89,1004.76
20240212_030341,25.09,1008.68
20240212_030344,25.09,1011.19
20240212_030347,25.05,1005.90
20240212_030350,25.08,1007.84
20240212_030353,24.99,997.58
20240212_030356,24.85,998.79
20240212_030359,24.99,1018.88
20240212_030402,24.96,1005.01
20240212_030405,24.97,1007.78
20240212_030408,25.05,1016.26
20240212_030411,24.99,1011.65
20240212_030414,25.11,1013.11
20240212_030417,24.91,1014.80
20240212_030420,25.29,1011.87
20240212_030423,25.05,1007.82
20240212_030426,25.05,1009.27
20240212_030429,24.84,995.32
20240212_030432,24.91,1006.80
20240212_030435,24.98,1011.41
20240212_030438,24.87,1007.66
20240212_030809,24.94,1013.71
20240212_030812,25.29,1007.64
20240212_030815,25.09,998.85
20240212_030818,25.08,1002.74
20240212_030821,25.14,1010.05
20240212_030824,25.03,1016.71
20240212_030827,25.26,1012.63
20240212_030830,25.02,1008.39
20240212_030833,25.23,1017.88
20240212_030836,25.20,1005.76
20240212_030839,25.01,1008.20
20240212_030842,25.03,1013.41
20240212_030845,25.13,999.90
20240212_030848,25.24,1009.71
20240212_030851,25.07,1008.79
20240212_030854,25.03,1007.01
20240212_030857,25.05,1012.17
20240212_030900,24.96,1008.97
20240212_030903,25.11,1014.05
20240212_030906,25.18,1001.73
20240212_030909,25.26,1006.26
20240212_030912,25.09,1013.55
20240212_030915,25.06,1006.83
20240212_030918,25.13,1013.50
20240212_030921,24.97,1004.91
20240212_030924,25.04,1013.34
20240212_030927,25.06,1007.20
20240212_030930,25.27,1005.74
20240212_030933,25.03,1005.98
20240212_030936,25.15,1000.69
20240212_030939,25.06,1006.08
20240212_030942,25.18,1005.97
20240212_030945,24.94,1003.28
20240212_030948,25.22,1006.52
20240212_030951,24.94,1006.47
20240212_030954,25.06,1011.41
20240212_030957,25.03,1011.16
20240212_031000,25.09,1010.73
20240212_031003,24.96,1008.92
20240212_031006,25.06,1006.71
20240212_031009,24.95,1000.80
20240212_031012,25.16,1009.62
20240212_031015,25.17,1001.61
20240212_031018,25.17,1009.29
20240212_031021,25.15,1006.47
20240212_031024,25.17,1015.53
20240212_031027,25.18,1015.68
20240212_031030,25.18,1010.65
20240212_031033,25.04,1008.30
20240212_031036,25.06,1009.27
20240212_031039,25.16,1007.03
20240212_031042,25.13,1014.99
20240212_031045,25.10,1010.55
20240212_031048,25.18,1010.11
20240212_031051,25.01,1003.40
20240212_031054,25.31,1008.61
20240212_031057,25.17,1009.13
20240212_031100,25.29,1001.86
20240212_031103,25.16,1015.10
20240212_031106,25.29,1007.83
20240212_031109,25.02,1003.84
20240212_031112,25.17,1001.82
20240212_031115,25.17,1012.15
20240212_031118,25.21,1006.45
20240212_031121,25.22,1009.28
20240212_031124,25.13,1008.55
20240212_031127,25.27,1011.56
20240212_031130,25.28,1000.01
20240212_031133,25.19,1013.29
20240212_031136,25.30,1011.29
20240212_031139,25.13,1005.55
20240212_031142,25.10,1007.56
20240212_031145,25.32,1004.58
20240212_031148,25.27,1009.95
20240212_031151,25.29,999.65
20240212_031154,24.96,1015.94
20240212_031157,25.30,1003.82
20240212_031200,25.18,1010.05
20240212_031203,25.24,1006.98
20240212_031206,25.19,1009.97
20240212_031209,25.38,1006.76
20240212_031212,25.33,1004.10
20240212_031215,25.22,1008.63
20240212_031218,25.28,1011.54
20240212_031221,25.27,1010.95
20240212_031224,25.25,1009.72
20240212_031227,25.32,1009.42
20240212_031230,25.23,1011.52
20240212_031233,25.13,1005.26
20240212_031236,25.21,1007.53
20240212_031239,25.31,1012.25
20240212_031242,25.34,1006.07
20240212_031245,25.27,1011.74
20240212_031248,25.14,1010.21
20240212_031251,25.23,1005.21
20240212_031254,25.24,1016.72
20240212_031257,25.33,1003.55
20240212_031300,25.25,1013.13
20240212_031303,25.18,999.75
20240212_031307,25.32,1001.81
20240212_031310,25.09,1006.71
20240212_031313,24.99,1007.84
20240212_031316,25.25,1010.44
20240212_031319,25.09,1007.29
20240212_031322,25.19,1014.02
20240212_031325,25.29,1006.92
20240212_031328,25.22,1001.52
20240212_031331,25.20,1007.25
20240212_031334,25.13,1002.70
20240212_031337,25.29,1001.04
20240212_031340,25.24,1012.86
20240212_031343,25.18,1011.64
20240212_031346,25.35,1006.53
20240212_031349,25.11,1002.44
20240212_031352,25.24,1014.28
20240212_031355,25.33,1005.64
20240212_031358,25.35,1015.63
20240212_031401,25.24,1009.90
20240212_031404,25.35,1009.52
20240212_031407,25.29,1010.76
20240212_031410,25.23,999.74
20240212_031413,25.37,1001.26
20240212_031416,25.13,1003.33
20240212_031419,25.25,1010.55
20240212_031422,25.27,1005.08
20240212_031425,25.33,1006.73
20240212_031428,25.42,1016.65
20240212_031431,25.29,1008.30
20240212_031434,25.32,997.19
20240212_031437,25.27,1010.61
20240212_031440,25.27,1010.86
20240212_031443,25.36,1010.98
20240212_031446,25.36,1009.26
20240212_031449,25.06,1007.06
20240212_031452,25.58,1007.17
20240212_031455,25.18,1007.16
20240212_031458,25.32,1010.57
20240212_031501,25.33,1008.53
20240212_031504,25.16,994.04
20240212_031507,25.37,1013.26
20240212_031510,25.38,1001.80
20240212_031513,25.16,1005.37
20240212_031516,25.45,1011.20
20240212_031519,25.24,1007.04
20240212_031522,25.22,1007.76
20240212_031525,25.42,1011.33
20240212_031528,25.19,1003.55
20240212_031531,25.11,1013.47
20240212_031534,25.51,1007.65
20240212_031537,25.22,1005.10
20240212_031540,25.48,1005.29
20240212_031543,25.12,1013.91
20240212_031546,25.30,1005.86
20240212_031549,25.32,1008.15
20240212_031552,25.38,1010.69
20240212_031555,25.17,1004.03
20240212_031558,25.37,1001.08
20240212_031601,25.25,1007.34
20240212_031604,25.44,1008.62
20240212_031607,25.11,1014.89
20240212_031610,25.20,1008.27
20240212_031613,25.41,1001.50
20240212_031616,25.51,1019.31
20240212_031619,25.45,1015.77
20240212_031622,25.32,1013.62
20240212_031625,25.38,1001.67
20240212_031628,25.26,991.77
20240212_031631,25.34,1000.46
20240212_031634,25.28,1004.64
20240212_031637,25.54,1010.68
20240212_031640,25.28,1007.56
20240212_031643,25.46,1006.44
20240212_031646,25.40,1013.32
20240212_031649,25.30,1012.70
20240212_031652,25.30,1011.82
20240212_031655,25.30,1004.06
20240212_031658,25.10,1008.25
20240212_031701,25.36,1017.59
20240212_031704,25.15,1008.34
20240212_031707,25.37,1016.48
20240212_031710,25.29,998.61
20240212_031713,25.35,1011.28
20240212_031716,25.38,1011.80
20240212_031719,25.43,1006.73
20240212_031722,25.38,1005.47
20240212_031725,25.25,1014.34
20240212_031728,25.14,1011.46
20240212_031731,25.32,1005.91
20240212_031734,25.44,1014.24
20240212_031737,25.45,1016.08
20240212_031740,25.52,1018.76
20240212_031743,25.36,1006.10
20240212_031746,25.52,995.00
20240212_031749,25.42,1011.71
20240212_031752,25.58,1010.55
20240212_031755,25.44,1007.62
20240212_031758,25.24,1010.18
20240212_031801,25.57,1005.48
20240212_031804,25.56,1009.97
20240212_031807,25.42,1001.66
20240212_031810,25.43,1003.74
20240212_031813,25.39,1002.94
20240212_031816,25.53,1005.58
20240212_031819,25.32,1010.09
20240212_031822,25.43,1010.24
20240212_031825,25.37,1016.15
20240212_031828,25.48,1013.94
20240212_031831,25.47,1005.14
20240212_031834,25.45,1012.56
20240212_031837,25.39,1002.86
20240212_031840,25.47,1004.91
20240212_031843,25.24,1009.93
20240212_031846,25.20,1005.59
20240212_031849,25.35,1009.98
20240212_031852,25.41,1018.26
20240212_031855,25.29,1010.63
20240212_031858,25.32,1005.80
20240212_031901,25.41,1006.49
20240212_031904,25.44,1000.21
20240212_031907,25.25,1002.59
20240212_031910,25.44,1013.46
20240212_031913,25.45,1002.99
20240212_031916,25.54,1010.80
20240212_031919,25.26,1012.08
20240212_031922,25.54,1013.14
20240212_031925,25.58,1005.19
20240212_031928,25.54,1001.68
20240212_031931,25.40,1010.61
20240212_031934,25.36,1008.52
20240212_031937,25.39,1013.84
20240212_031940,25.38,1005.80
20240212_031943,25.45,1008.10
20240212_031946,25.39,1017.97
20240212_031949,25.35,1012.13
20240212_031952,25.38,1017.36
20240212_031955,25.28,1010.99
20240212_031958,25.30,1018.08
20240212_032001,25.40,1004.43
20240212_032004,25.48,1002.46
20240212_032007,25.35,1013.46
20240212_032010,25.50,1002.69
20240212_032013,25.55,985.53
20240212_032016,25.41,1003.78
20240212_032019,25.59,1018.49
20240212_032022,25.33,1015.68
20240212_032025,25.42,1013.88
20240212_032028,25.34,1006.40
20240212_032031,25.50,1002.79
20240212_032034,25.50,997.56
20240212_032037,25.40,1004.39
20240212_032040,25.41,1003.85
20240212_032043,25.36,1003.18
20240212_032046,25.65,1009.48
20240212_032049,25.52,1011.73
20240212_032052,25.40,1007.52
20240212_032055,25.57,1000.48
20240212_032058,25.54,1010.16
20240212_032101,25.53,1011.64
20240212_032104,25.43,1002.07
20240212_032107,25.18,1003.42
20240212_032110,25.58,1007.95
20240212_032113,25.41,1011.38
20240212_032116,25.48,1011.65
20240212_032119,25.20,1017.35
20240212_032122,25.38,1004.85
20240212_032125,25.51,1011.96
20240212_032128,25.40,1006.65
20240212_032131,25.65,1009.12
20240212_032134,25.26,1001.78
20240212_032137,25.62,1011.07
20240212_032140,25.53,1001.12
20240212_032143,25.50,999.02
20240212_032146,25.41,1006.62
20240212_032149,25.33,1002.94
20240212_032152,25.47,1010.81
20240212_032155,25.43,1013.84
20240212_032158,25.39,1014.03
20240212_032201,25.37,1003.66
20240212_032204,25.43,1001.31
20240212_032207,25.65,1003.07
20240212_032210,25.41,1007.06
20240212_032213,25.52,1014.03
20240212_032216,25.54,996.71
20240212_032219,25.37,1008.57
20240212_032222,25.47,1005.83
20240212_032225,25.41,1007.33
20240212_032228,25.49,1013.70
20240212_032231,25.56,1010.87
20240212_032234,25.40,1004.06
20240212_032237,25.47,1009.36
20240212_032240,25.53,1012.61
20240212_032243,25.60,1005.48
20240212_032246,25.47,1004.21
20240212_032249,25.42,1008.17
20240212_032252,25.55,1010.38
20240212_032255,25.54,1012.93
20240212_032258,25.42,1009.67
20240212_032301,25.50,1015.45
20240212_032304,25.65,1007.53
20240212_032307,25.58,999.39
20240212_032310,25.59,1011.20
20240212_032313,25.50,1003.06
20240212_032316,25.47,1005.56
20240212_032319,25.58,997.87
20240212_032322,25.48,1015.34
20240212_032325,25.41,1012.48
20240212_032328,25.54,1018.01
20240212_032331,25.41,999.74
20240212_032334,25.54,1008.09
20240212_032337,25.67,1013.20
20240212_032340,25.53,1009.68
20240212_032343,25.49,1001.79
20240212_032346,25.57,999.70
20240212_032349,25.64,1009.82
20240212_032352,25.52,1004.73
20240212_032355,25.70,1014.86
20240212_032358,25.62,1006.95
20240212_032401,25.56,1017.27
20240212_032404,25.46,1009.97
20240212_032407,25.48,1005.71
20240212_032410,25.48,1006.91
20240212_032413,25.50,1003.90
20240212_032416,25.50,1008.66
20240212_032419,25.41,1011.97
20240212_032422,25.53,1006.79
20240212_032425,25.46,1002.31
20240212_032428,25.60,1006.17
20240212_032431,25.39,1011.47
20240212_032434,25.70,1011.36
20240212_032437,25.65,1006.28
20240212_032440,25.59,1004.48
20240212_032443,25.40,1006.03
20240212_032446,25.64,1003.16
20240212_032449,25.47,1011.89
20240212_032452,25.45,1013.90
20240212_032455,25.46,1004.12
20240212_032458,25.55,1010.23
20240212_032501,25.63,1012.46
20240212_032504,25.66,1015.30
20240212_032507,25.64,1014.77
20240212_032510,25.64,1008.83
20240212_032513,25.49,1010.15
20240212_032516,25.42,1010.54
20240212_032519,25.61,1011.18
20240212_032522,25.42,1009.42
20240212_032525,25.66,1019.76
20240212_032528,25.65,1005.18
20240212_032531,25.61,1009.84
20240212_032534,25.68,999.47
20240212_032537,25.56,1002.26
20240212_032540,25.69,1011.18
20240212_032543,25.47,1005.07
20240212_032546,25.58,1006.89
20240212_032549,25.62,1018.94
20240212_032552,25.51,1012.44
20240212_032555,25.71,1010.91
20240212_032558,25.55,1015.20
20240212_032601,25.67,1006.09
20240212_032604,25.61,1006.91
20240212_032607,25.63,1021.53
20240212_032610,25.45,1006.10
20240212_032613,25.53,1009.25
20240212_032616,25.82,1012.25
20240212_032619,25.49,1011.07
20240212_032622,25.86,1015.40
20240212_032625,25.50,1003.64
20240212_032628,25.69,1018.13
20240212_032631,25.77,1007.51
20240212_032634,25.65,1008.60
20240212_032637,25.67,1009.54
20240212_032640,25.69,1005.60
20240212_032643,25.55,1014.43
20240212_032646,25.76,1008.22
20240212_032649,25.55,1017.18
20240212_032652,25.68,1003.54
20240212_032655,25.68,1008.98
20240212_032658,25.66,1009.96
20240212_032701,25.68,1009.90
20240212_032704,25.66,1005.39
20240212_032707,25.52,1002.30
20240212_032710,25.58,1006.39
20240212_032713,25.56,1001.31
20240212_032717,25.54,1013.85
20240212_032720,25.78,1001.34
20240212_032723,25.78,1005.56
20240212_032726,25.66,1006.45
20240212_032729,25.91,1017.77
20240212_032732,25.54,1008.28
20240212_032735,25.81,1003.98
20240212_032738,25.86,998.37
20240212_032741,25.60,1016.27
20240212_032744,25.83,1009.67
20240212_032747,25.57,1008.05
20240212_032750,25.78,1016.10
20240212_032753,25.64,1006.91
20240212_032756,25.71,1008.32
20240212_032759,25.58,1012.87
20240212_032802,25.41,1004.74
20240212_032805,25.54,1008.55
20240212_032808,25.75,1006.48
20240212_032811,25.63,1010.33
20240212_032814,25.76,1016.96
20240212_032817,25.61,1010.56
20240212_032820,25.71,1008.16
20240212_032823,25.62,1000.63
20240212_032826,25.61,1006.33
20240212_032829,25.70,1000.34
20240212_032832,25.56,1005.98
20240212_032835,25.66,1019.70
20240212_032838,25.55,1004.61
20240212_032841,25.60,999.05
20240212_032844,25.57,1008.13
20240212_032847,25.69,1013.44
20240212_032850,25.59,1006.01
20240212_032853,25.69,1006.90
20240212_032856,25.63,1012.70
20240212_032859,25.60,1006.81
20240212_032902,25.80,1009.04
20240212_032905,25.72,1011.13
20240212_032908,25.59,1009.11
20240212_032911,25.87,1008.17
20240212_032914,25.60,1008.56
20240212_032917,25.69,1016.80
20240212_032920,25.67,1014.36
20240212_032923,25.58,1006.04
20240212_032926,25.79,1006.55
20240212_032929,25.66,1010.65
20240212_032932,25.67,1018.68
20240212_032935,25.68,1002.37
20240212_032938,25.71,998.67
20240212_032941,25.49,1014.63
20240212_032944,25.60,1003.46
20240212_032947,25.67,1010.84
20240212_032950,25.72,1007.77
20240212_032953,25.61,1015.80
20240212_032956,25.73,1009.76
20240212_032959,25.84,1017.08
20240212_033002,25.77,1011.46
20240212_033005,25.82,1003.41
20240212_033008,25.78,1011.39
20240212_033011,25.79,1006.64
20240212_033014,25.66,997.36
20240212_033017,25.59,1011.09
20240212_033020,25.64,1009.58
20240212_033023,25.74,1017.55
20240212_033026,25.80,1011.46
20240212_033029,25.75,1011.49
20240212_033032,25.92,1007.46
20240212_033035,25.67,1011.30
20240212_033038,25.60,1009.29
20240212_033041,25.90,1004.72
20240212_033044,25.81,1011.24
20240212_033047,25.89,1000.30
20240212_033050,25.38,1006.75
20240212_033053,25.74,1012.74
20240212_033056,25.65,1008.15
20240212_033059,25.77,1015.13
20240212_033102,25.64,1009.93
20240212_033105,25.96,1008.79
20240212_033108,25.68,1013.28
20240212_033111,25.78,1000.48
20240212_033114,25.56,1002.97
20240212_033117,25.76,1000.08
20240212_033120,25.79,1010.89
20240212_033123,25.60,1007.20
20240212_033126,25.86,1003.34
20240212_033129,25.75,1007.01
20240212_033132,25.77,1008.57
20240212_033135,25.61,1012.79
20240212_033138,25.89,997.55
20240212_033141,25.64,1006.24
20240212_033144,25.69,1016.62
20240212_033147,25.76,1013.19
20240212_033150,25.86,1010.44
20240212_033153,25.83,1012.99
20240212_033156,25.75,1002.64
20240212_033159,25.75,1004.39
20240212_033202,25.77,1015.51
20240212_033205,25.93,999.45
20240212_033208,25.83,1003.39
20240212_033211,25.73,1015.47
20240212_033214,25.73,1011.44
20240212_033217,25.90,1013.18
20240212_033220,25.84,1006.89
20240212_033223,25.84,1006.21
20240212_033226,25.87,1008.25
20240212_033229,25.76,1004.42
20240212_033232,25.74,1000.37
20240212_033235,25.66,1010.91
20240212_033238,25.73,1017.06
20240212_033241,25.93,1000.22
20240212_033244,25.84,1008.39
20240212_033247,25.87,1004.33
20240212_033250,25.65,1003.91
20240212_033253,25.81,1011.67
20240212_033256,25.77,1011.98
20240212_033259,25.71,1012.54
20240212_033302,25.92,1008.36
20240212_033305,25.75,1015.18
20240212_033308,25.87,1011.13
20240212_033311,25.85,1010.73
20240212_033314,25.92,1020.29
20240212_033317,25.84,1007.44
20240212_033320,25.68,1010.50
20240212_033323,25.77,1002.46
20240212_033326,25.87,1006.56
20240212_033329,25.57,1011.68
20240212_033332,25.73,1004.64
20240212_033335,25.77,1007.46
20240212_033338,25.79,1010.41
20240212_033341,25.77,1010.43
20240212_033344,25.74,1011.57
20240212_033347,25.92,1009.44
20240212_033350,25.85,1006.35
20240212_033353,25.89,1011.54
20240212_033356,25.91,1005.19
20240212_033359,25.81,1002.24
20240212_033402,25.80,1001.99
20240212_033405,25.76,1015.87
20240212_033408,25.79,1001.28
20240212_033411,25.75,1006.66
20240212_033414,25.89,999.18
20240212_033417,25.77,1007.51
20240212_033420,26.01,1010.55
20240212_033423,25.92,1005.12
20240212_033426,25.97,1009.08
20240212_033429,25.80,1009.21
20240212_033432,25.73,1007.31
20240212_033435,25.95,1004.69
20240212_033438,25.95,1004.93
20240212_033441,25.83,1013.76
20240212_033444,25.73,1014.98
20240212_033447,25.88,1007.47
20240212_033450,25.77,1014.95
20240212_033453,25.91,1008.36
20240212_033456,25.98,1006.35
20240212_033459,25.94,1001.52
20240212_033502,25.96,1018.92
20240212_033505,25.87,1005.85
20240212_033508,25.73,995.21
20240212_033511,25.77,1010.13
20240212_033514,25.86,1004.62
20240212_033517,25.75,1006.98
20240212_033520,25.85,1010.67
20240212_033523,25.90,1018.04
20240212_033526,26.04,1014.46
20240212_033529,25.95,1007.06
20240212_033532,25.92,1006.70
20240212_033535,25.69,1006.42
20240212_033538,25.82,1018.27
20240212_033541,25.74,1007.66
20240212_033544,25.89,1003.07
20240212_033547,26.06,1004.87
20240212_033550,25.74,1013.14
20240212_033553,25.76,1005.37
20240212_033556,25.90,1009.49
20240212_033559,25.78,1015.05
20240212_033602,25.89,1004.36
20240212_033605,25.96,1011.55
20240212_033608,25.93,997.14
20240212_033611,25.87,1006.72
20240212_033614,25.77,1004.22
20240212_033617,25.94,1004.20
20240212_033620,26.00,1002.41
20240212_033623,25.94,1009.08
20240212_033626,26.05,1016.41
20240212_033629,25.92,998.08
20240212_033632,25.97,1019.65
20240212_033635,25.88,1009.51
20240212_033638,25.84,1008.32
20240212_033641,25.75,1008.20
20240212_033644,25.96,1005.68
20240212_033647,25.97,1004.47
20240212_033650,26.01,1004.75
20240212_033653,25.92,1011.67
20240212_033656,25.99,1013.33
20240212_033659,25.98,1011.20
20240212_033702,25.90,1013.21
20240212_033705,25.71,1009.84
20240212_033708,25.90,1009.40
20240212_033711,25.75,1008.47
20240212_033714,25.88,1008.70
20240212_033717,25.81,1014.50
20240212_033720,25.89,1013.52
20240212_033723,25.83,1012.31
20240212_033726,25.92,1013.96
20240212_033729,25.98,1006.66
20240212_033732,25.90,1014.07
20240212_033735,25.91,1005.82
20240212_033738,25.88,1008.89
20240212_033741,25.88,1007.23
20240212_033744,25.97,1007.70
20240212_033747,26.06,1007.34
20240212_033750,25.71,1003.30
20240212_033753,25.85,1005.97
20240212_033756,25.86,1013.48
20240212_033759,25.89,1001.67
20240212_033802,25.98,1008.95
20240212_033805,26.05,1001.19
20240212_033808,25.95,1003.13
20240212_033811,25.76,1009.46
20240212_033814,25.93,1005.92
20240212_033817,25.86,1010.87
20240212_033820,26.11,1000.66
20240212_033823,25.92,1001.79
20240212_033826,26.04,1010.51
20240212_033829,26.01,1008.69
20240212_033832,25.97,1008.32
20240212_033835,25.98,1004.86
20240212_033838,25.87,1011.31
20240212_033841,26.10,1006.61
20240212_033844,25.91,1015.84
20240212_033847,26.02,1000.25
20240212_033850,25.77,1013.72
20240212_033853,26.00,1017.62
20240212_033856,25.77,1009.03
20240212_033859,25.95,1009.40
20240212_033902,25.99,1012.40
20240212_033905,25.88,1008.31
20240212_033908,25.94,1003.31
20240212_033911,26.12,1010.14
20240212_033914,26.09,1015.01
20240212_033917,26.05,1004.46
20240212_033920,25.86,1003.77
20240212_033923,26.06,1018.03
20240212_033926,25.97,1005.71
20240212_033929,25.91,997.83
20240212_033932,25.91,1011.62
20240212_033935,26.10,1012.04
20240212_033938,26.03,1008.31
20240212_033941,26.21,998.59
20240212_033944,26.05,1008.33
20240212_033947,25.81,1007.65
20240212_033950,26.01,1011.19
20240212_033953,25.93,1006.83
20240212_033956,25.85,1012.93
20240212_033959,25.75,1011.33
20240212_034002,25.85,1011.18
20240212_034005,25.99,1007.50
20240212_034008,26.10,1012.51
20240212_034011,25.97,1011.66
20240212_034014,25.84,1005.26
20240212_034017,25.93,1011.75
20240212_034020,26.07,1007.97
20240212_034023,25.93,1004.62
20240212_034026,26.00,1014.39
20240212_034029,25.82,1007.00
20240212_034032,26.05,1003.14
20240212_034035,25.97,1004.45
20240212_034038,26.04,1009.16
20240212_034041,26.09,1004.91
20240212_034044,26.20,1002.44
20240212_034047,26.01,1006.50
20240212_034050,25.78,1007.06
20240212_034053,26.05,1013.37
20240212_034056,26.03,1000.53
20240212_034059,25.91,994.93
20240212_034102,26.00,1017.22
20240212_034105,26.14,1013.84
20240212_034109,25.87,1004.85
20240212_034112,25.95,1008.93
20240212_034115,26.01,1016.98
20240212_034118,25.93,1011.05
20240212_034121,25.98,1016.73
20240212_034124,26.00,1006.60
20240212_034127,26.06,1010.19
20240212_034130,25.86,1004.04
20240212_034133,25.88,1010.89
20240212_034136,25.93,998.87
20240212_034139,26.03,1018.57
20240212_034142,26.12,1006.44
20240212_034145,26.10,1010.93
20240212_034148,26.14,1007.68
20240212_034151,26.13,1005.63
20240212_034154,25.99,1004.77
20240212_034157,26.07,1007.98
20240212_034200,26.10,1005.63
20240212_034203,25.96,1005.67
20240212_034206,26.04,1011.82
20240212_034209,26.00,1009.46
20240212_034212,26.03,1008.46
20240212_034215,25.82,1007.83
20240212_034218,26.09,1007.27
20240212_034221,26.06,1010.75
20240212_034224,26.05,1017.18
20240212_034227,26.08,1011.33
20240212_034230,25.91,1005.93
20240212_034233,25.93,1003.23
20240212_034236,26.14,1009.06
20240212_034239,26.05,1002.32
20240212_034242,26.16,1009.78
20240212_034245,26.01,1010.45
20240212_034248,26.13,999.51
20240212_034251,26.04,1007.65
20240212_034254,26.17,1000.29
20240212_034257,26.01,1008.98
20240212_034300,26.14,1005.94
20240212_034303,26.14,1003.29
20240212_034306,26.05,1011.77
20240212_034309,25.98,1011.00
20240212_034312,26.10,1004.82
20240212_034315,25.92,1007.51
20240212_034318,25.93,1007.33
20240212_034321,26.17,1002.03
20240212_034324,26.11,1012.40
20240212_034327,25.92,1005.05
20240212_034330,26.26,1008.33
20240212_034333,26.08,1003.84
20240212_034336,26.07,1008.58
20240212_034339,25.85,1000.57
20240212_034342,25.89,1016.62
